APINumber	Longitude	Latitude
3390001	-122.719558	38.774835
3390002	-122.718712	38.773509
3390003	-122.718378	38.771903
3390004	-122.719475	38.77068
3390005	-122.72354	38.773464
3390009	-122.711268	38.786801
3390014	-122.721188	38.779554
3390015	-122.713243	38.772239
3390016	-122.718685	38.772175
3390017	-122.723564	38.773383
3390018	-122.715804	38.777985
3390019	-122.757246	38.823351
3390020	-122.784542	38.830976
3390021	-122.724886	38.775185
3390022	-122.718936	38.776487
3390023	-122.699484	38.767503
3390024	-122.723652	38.778792
3390025	-122.72101	38.779953
3390027	-122.710861	38.764893
3390030	-122.675633	38.762077
3390033	-122.772416	38.841167
3390034	-122.710616	38.764724
3390036	-122.683806	38.766118
3390048	-122.727728	38.792189
3390049	-122.772226	38.841067
3390058	-122.711379	38.790625
3390059	-122.715661	38.777901
3390060	-122.704706	38.749109
3390063	-122.736205	38.777013
3390084	-122.724938	38.768245
3390098	-122.729231	38.770208
3390099	-122.711601	38.797695
3390100	-122.704819	38.74921
3390101	-122.699793	38.747563
3390163	-122.699915	38.747571
3390171	-122.802	38.842171
3390186	-122.748044	38.815897
3390188	-122.716256	38.784739
3390194	-122.692891	38.762875
3390201	-122.77246	38.837826
3390233	-122.730063	38.774302
3390234	-122.729967	38.774315
3390249	-122.699339	38.767576
3390251	-122.722772	38.762984
3390273	-122.772475	38.84119
3390274	-122.711309	38.755347
3390277	-122.750084	38.829625
3390278	-122.762122	38.835291
3390284	-122.745171	38.786542
3390285	-122.739854	38.781811
3390286	-122.71142	38.755307
3390290	-122.745085	38.786663
3390291	-122.723783	38.788469
3390302	-122.713566	38.766901
3390305	-122.689004	38.757093
3390339	-122.722723	38.762958
3390344	-122.704298	38.765432
3390383	-122.743336	38.792895
3390391	-122.736387	38.794825
3390392	-122.704247	38.765409
3390421	-122.750053	38.829757
3390422	-122.714889	38.777571
3390423	-122.714972	38.777598
3390424	-122.79304	38.853913
3390425	-122.777698	38.834337
3390426	-122.800884	38.854103
3390427	-122.743776	38.793375
3390428	-122.736004	38.783446
3390429	-122.777853	38.834458
3390430	-122.735864	38.783526
3390435	-122.736325	38.794804
3390436	-122.77308	38.837955
3390437	-122.77776	38.8344
3390439	-122.736269	38.79477
3390440	-122.822573	38.89607
3390441	-122.739579	38.788036
3390442	-122.772553	38.837726
3390443	-122.777625	38.834281
3390444	-122.723596	38.778846
3390446	-122.739659	38.787997
3390447	-122.772009	38.83787
3390448	-122.768384	38.821116
3390449	-122.70566	38.783667
3390451	-122.80167	38.863385
3390459	-122.745128	38.786604
3390460	-122.792979	38.853862
3390461	-122.745203	38.786485
3390462	-122.77792	38.834521
3390463	-122.692942	38.762821
3390464	-122.739729	38.787959
3390465	-122.768493	38.821009
3390466	-122.739804	38.787926
3390469	-122.71331	38.766796
3390474	-122.743508	38.792937
3390476	-122.713372	38.766823
3390477	-122.768436	38.821061
3390478	-122.743594	38.792928
3390479	-122.783838	38.841976
3390480	-122.713433	38.76685
3390484	-122.783846	38.842115
3390485	-122.716797	38.763008
3390486	-122.711227	38.755284
3390487	-122.711326	38.75525
3390488	-122.716861	38.762983
3390492	-122.699425	38.767566
3390494	-122.815142	38.863003
3390495	-122.699506	38.767555
3390496	-122.772832	38.837816
3390497	-122.716833	38.769208
3390498	-122.783854	38.842253
3390500	-122.716825	38.769147
3390501	-122.77244	38.837707
3390502	-122.77786	38.83431
3390503	-122.716812	38.769095
3390506	-122.703406	38.757097
3390507	-122.739879	38.787886
3390508	-122.703407	38.757179
3390509	-122.729202	38.770162
3390510	-122.745101	38.786744
3390511	-122.69969	38.747555
3390512	-122.772105	38.8411
3390513	-122.703408	38.757262
3390518	-122.764671	38.831735
3390519	-122.764585	38.831741
3390520	-122.772015	38.841074
3390521	-122.764492	38.831742
3390522	-122.704988	38.749349
3390523	-122.699813	38.747563
3390524	-122.699936	38.747571
3390525	-122.705094	38.749404
3390526	-122.705193	38.749442
3390527	-122.700059	38.747578
3390528	-122.710755	38.764776
3390529	-122.700132	38.747544
3390530	-122.70527	38.74948
3390545	-122.768607	38.820904
3390546	-122.711777	38.755522
3390547	-122.700212	38.747516
3390549	-122.711755	38.755454
3390552	-122.71173	38.755388
3390555	-122.711709	38.755319
3390558	-122.693033	38.762708
3390560	-122.711686	38.755251
3390561	-122.73618	38.794722
3390562	-122.716939	38.762962
3390613	-122.757218	38.822966
3390614	-122.80787	38.842868
3390615	-122.77925	38.843374
3390616	-122.792324	38.857088
3390635	-122.743685	38.792931
3390675	-122.70527	38.781815
3390676	-122.7266	38.773613
3390677	-122.703409	38.757344
3390678	-122.694865	38.764222
3390679	-122.716785	38.769022
3390680	-122.775382	38.829335
3390684	-122.69479	38.76426
3390685	-122.715042	38.777636
3390686	-122.775308	38.829389
3390687	-122.703406	38.757029
3390688	-122.694712	38.764295
3390689	-122.715117	38.777671
3390690	-122.703402	38.75696
3390691	-122.713499	38.766876
3390692	-122.735639	38.783476
3390693	-122.771597	38.822227
3390694	-122.703401	38.756825
3390695	-122.727554	38.792191
3390696	-122.723963	38.78862
3390697	-122.727643	38.792189
3390698	-122.723898	38.788566
3390699	-122.734764	38.790443
3390700	-122.73471	38.790514
3390701	-122.703409	38.757382
3390702	-122.735787	38.783573
3390703	-122.698974	38.747065
3390706	-122.723834	38.78852
3390708	-122.694637	38.764326
3390710	-122.734673	38.790591
3390711	-122.745238	38.786872
3390719	-122.70341	38.757421
3390720	-122.740032	38.787639
3390721	-122.739952	38.787792
3390722	-122.735808	38.79444
3390723	-122.736097	38.794666
3390724	-122.775455	38.829278
3390725	-122.745166	38.786813
3390726	-122.698073	38.76203
3390727	-122.714814	38.777525
3390728	-122.734627	38.790664
3390729	-122.745311	38.786933
3390730	-122.739981	38.787706
3390731	-122.71042	38.764693
3390732	-122.736027	38.794611
3390733	-122.743784	38.792933
3390734	-122.698159	38.762061
3390735	-122.743213	38.792939
3390736	-122.715203	38.777701
3390737	-122.743117	38.792939
3390738	-122.743119	38.793023
3390739	-122.735871	38.794486
3390740	-122.735958	38.794551
3390741	-122.698242	38.762093
3390742	-122.723689	38.788402
3390743	-122.711784	38.766658
3390744	-122.727822	38.792191
3390746	0	0
3390747	-122.750088	38.829582
3390748	-122.710901	38.755405
3390749	-122.772708	38.837829
3390750	-122.77783	38.834364
3390751	-122.771914	38.84105
3390752	-122.772357	38.837672
3390753	-122.772094	38.841012
3390754	-122.772629	38.837795
3390755	0	0
3390756	-122.777555	38.834221
3390757	-122.723661	38.778904
3390758	-122.698889	38.746978
3390767	0	0
3390768	-122.719572	38.770619
9790001	-122.831701	38.803049
9790002	-122.833881	38.803695
9790003	-122.836083	38.804494
9790004	-122.836316	38.801439
9790005	-122.836342	38.804576
9790006	-122.793436	38.804034
9790007	-122.784296	38.805812
9790008	-122.805614	38.799093
9790009	-122.792383	38.814036
9790010	-122.795022	38.811847
9790011	-122.797172	38.813677
9790012	-122.791686	38.817226
9790013	-122.793738	38.826825
9790014	-122.796077	38.80895
9790015	-122.794136	38.815131
9790016	-122.742681	38.769114
9790017	-122.756087	38.774585
9790018	-122.815902	38.80348
9790019	-122.815526	38.803364
9790020	-122.810984	38.801969
9790021	-122.745635	38.777202
9790022	-122.808563	38.811322
9790023	-122.807575	38.809983
9790024	-122.804624	38.812453
9790025	-122.804946	38.81054
9790026	-122.805092	38.808251
9790027	-122.806854	38.803002
9790028	-122.80687	38.80287
9790029	-122.804999	38.801576
9790030	-122.804011	38.800797
9790031	-122.826079	38.812723
9790032	-122.820495	38.81274
9790033	-122.810164	38.804986
9790034	0	0
9790035	-122.811606	38.805515
9790036	-122.809645	38.808293
9790037	-122.814029	38.809076
9790038	-122.811654	38.808139
9790039	0	0
9790040	-122.810001	38.807259
9790041	-122.810134	38.807505
9790042	-122.749865	38.771852
9790043	-122.747257	38.774346
9790044	-122.766152	38.789131
9790045	-122.76566	38.79585
9790046	-122.773884	38.796471
9790047	-122.780658	38.809159
9790048	-122.763791	38.790727
9790049	-122.762208	38.793382
9790050	-122.804991	38.802436
9790051	-122.800265	38.810588
9790052	-122.806001	38.818779
9790053	-122.806125	38.815776
9790054	-122.800268	38.818071
9790055	-122.803627	38.8181
9790056	-122.802153	38.813343
9790057	-122.8011	38.820552
9790058	-122.813368	38.807103
9790059	-122.822661	38.806964
9790060	-122.823511	38.807716
9790061	-122.825955	38.808124
9790062	-122.824669	38.807667
9790063	-122.821859	38.807459
9790064	-122.819793	38.807239
9790065	-122.818693	38.806465
9790066	-122.817499	38.805661
9790067	-122.820841	38.808948
9790068	-122.816494	38.806444
9790069	-122.818859	38.808122
9790070	-122.816741	38.807377
9790071	-122.817472	38.808173
9790072	-122.81779	38.809286
9790073	-122.815008	38.807504
9790074	-122.805999	38.803055
9790075	-122.805295	38.802014
9790076	-122.803987	38.801762
9790077	-122.805569	38.802674
9790078	-122.804927	38.801692
9790079	-122.805422	38.801458
9790080	-122.804514	38.801445
9790081	-122.806045	38.802865
9790082	-122.805443	38.802344
9790083	-122.805781	38.802079
9790084	-122.819737	38.806048
9790085	-122.818966	38.806971
9790086	-122.817571	38.806987
9790087	-122.81921	38.806052
9790088	-122.832179	38.798182
9790089	-122.806479	38.82316
9790090	-122.830992	38.80788
9790091	-122.803275	38.820818
9790092	-122.795928	38.831756
9790093	-122.760033	38.794341
9790094	-122.835871	38.801263
9790095	-122.833059	38.801613
9790096	-122.835171	38.801703
9790097	-122.829467	38.797096
9790098	-122.834598	38.79965
9790099	-122.797182	38.817291
9790100	-122.768178	38.788288
9790101	-122.772151	38.800165
9790102	-122.834477	38.807626
9790103	-122.806925	38.803971
9790104	-122.808189	38.803125
9790109	-122.766267	38.805713
9790110	-122.770675	38.813465
9790111	-122.829492	38.841521
9790112	-122.854727	38.815509
9790113	-122.806583	38.815938
9790114	-122.775323	38.79842
9790115	-122.763565	38.794867
9790116	-122.776578	38.796075
9790117	-122.771454	38.801145
9790118	-122.773115	38.784524
9790119	-122.758781	38.792223
9790120	-122.783909	38.81215
9790121	-122.790357	38.829902
9790122	-122.765391	38.787502
9790123	-122.828781	38.79472
9790124	-122.804643	38.800486
9790125	-122.764928	38.797434
9790126	-122.771136	38.797096
9790127	-122.801682	38.815884
9790128	-122.823164	38.814125
9790129	-122.811825	38.804044
9790131	-122.815663	38.813823
9790132	-122.806041	38.802173
9790133	-122.82381	38.798119
9790134	-122.832647	38.800997
9790135	-122.832195	38.800059
9790136	-122.771013	38.797358
9790137	-122.805679	38.802088
9790138	-122.804323	38.801059
9790139	-122.805807	38.826465
9790140	-122.789585	38.829603
9790141	-122.779048	38.78234
9790142	-122.823182	38.793749
9790143	-122.802886	38.82732
9790144	-122.793618	38.81218
9790145	-122.804177	38.825373
9790146	-122.795936	38.831523
9790147	-122.801906	38.824499
9790148	-122.820774	38.799605
9790149	-122.839449	38.804109
9790150	-122.83392	38.793726
9790151	-122.803077	38.827525
9790152	-122.802662	38.827129
9790153	-122.808693	38.827401
9790154	-122.79606	38.831256
9790155	-122.808153	38.827212
9790156	-122.798712	38.836062
9790157	-122.837948	38.801763
9790158	-122.834362	38.797949
9790161	-122.804478	38.825648
9790162	-122.726225	38.749708
9790163	-122.806667	38.818384
9790164	-122.84237	38.803525
9790165	-122.842092	38.805752
9790166	-122.784217	38.812074
9790167	-122.806833	38.818161
9790168	-122.792891	38.805493
9790169	-122.79264	38.805657
9790170	-122.792386	38.80582
9790172	-122.778785	38.823673
9790174	-122.784525	38.812008
9790175	-122.79187	38.806168
9790176	-122.792132	38.805995
9790177	-122.793526	38.803973
9790178	-122.793251	38.804159
9790179	-122.810402	38.807303
9790180	-122.810474	38.807214
9790181	-122.79836	38.835663
9790182	-122.820927	38.835358
9790183	-122.86732	38.846291
9790184	-122.772463	38.821178
9790185	-122.832834	38.801291
9790192	-122.778989	38.823459
9790193	-122.776753	38.796043
9790194	-122.817155	38.804358
9790195	-122.817044	38.80443
9790196	-122.816925	38.804505
9790197	-122.816814	38.804577
9790198	-122.798551	38.814217
9790200	-122.74105	38.762995
9790201	-122.78921	38.82938
9790202	-122.789334	38.829442
9790203	-122.779138	38.78802
9790204	-122.770655	38.813642
9790205	-122.779314	38.788003
9790227	-122.777941	38.783462
9790228	-122.77809	38.783538
9790229	-122.76978	38.800513
9790231	-122.769971	38.800295
9790232	-122.770071	38.800187
9790239	-122.803203	38.810972
9790240	-122.803262	38.810867
9790241	-122.874647	38.831451
9790242	-122.784679	38.811971
9790243	-122.719144	38.753041
9790244	-122.71926	38.753071
9790245	-122.770821	38.813671
9790252	-122.724847	38.759981
9790253	-122.724997	38.759944
9790255	-122.783472	38.803398
9790257	-122.885006	38.836564
9790258	-122.778367	38.812163
9790262	-122.777609	38.804726
9790263	-122.77759	38.804596
9790264	-122.777575	38.804468
9790266	-122.814474	38.808395
9790267	-122.814582	38.808295
9790268	-122.814704	38.808204
9790269	-122.8156	38.813821
9790359	-122.783442	38.803505
9790360	-122.783596	38.803449
9790361	-122.772353	38.783398
9790362	-122.772275	38.783428
9790363	-122.772434	38.783515
9790364	-122.772509	38.78363
9790365	-122.798481	38.835768
9790366	-122.798602	38.835928
9790368	-122.733022	38.755562
9790369	-122.798556	38.835879
9790370	-122.792439	38.813852
9790371	-122.814818	38.808103
9790373	-122.792297	38.813921
9790374	-122.780707	38.809088
9790375	-122.78055	38.809247
9790376	-122.750842	38.755689
9790377	-122.778995	38.788041
9790379	-122.752344	38.80261
9790380	-122.795086	38.811659
9790381	-122.794946	38.811729
9790382	-122.792157	38.813994
9790386	-122.80659	38.796719
9790387	-122.878275	38.83611
9790392	-122.71166	38.745173
9790394	-122.733492	38.762095
9790395	-122.733495	38.762028
9790396	-122.728667	38.763076
9790404	-122.751581	38.788854
9790422	-122.80469	38.801894
9790424	-122.820884	38.7993
9790427	-122.738876	38.768463
9790428	-122.728702	38.763143
9790429	-122.806635	38.796612
9790433	-122.764119	38.778185
9790434	-122.758638	38.792301
9790435	-122.737869	38.779929
9790436	-122.834734	38.793639
9790437	-122.777059	38.818947
9790438	-122.784576	38.827442
9790439	-122.784752	38.827452
9790440	-122.777193	38.818977
9790445	-122.82841	38.794661
9790446	-122.724594	38.760018
9790447	-122.777	38.81903
9790448	-122.777169	38.819067
9790449	-122.80178	38.796424
9790450	-122.77746	38.804529
9790451	-122.724471	38.760007
9790452	-122.77882	38.77432
9790453	-122.815488	38.81386
9790454	-122.784836	38.827471
9790455	-122.784924	38.827476
9790456	-122.80854	38.816103
9790457	-122.758575	38.79237
9790458	-122.765427	38.770279
9790461	-122.732904	38.755554
9790462	-122.832534	38.800734
9790463	-122.732791	38.755577
9790465	-122.808664	38.816201
9790466	-122.808784	38.816301
9790468	-122.810951	38.797393
9790477	-122.806854	38.836929
9790478	-122.728718	38.763186
9790479	-122.732668	38.755575
9790480	-122.737043	38.773066
9790481	-122.737177	38.773147
9790482	-122.777293	38.824333
9790483	-122.719362	38.753084
9790484	-122.832458	38.800558
9790485	-122.830062	38.809144
9790486	-122.806795	38.836811
9790487	-122.753894	38.7849
9790488	-122.792875	38.822372
9790489	-122.719468	38.753094
9790490	-122.777454	38.824302
9790491	-122.832346	38.800382
9790492	-122.721393	38.756254
9790493	-122.792661	38.822159
9790494	-122.777619	38.824265
9790507	-122.826491	38.812009
9790508	-122.779758	38.795512
9790510	-122.721353	38.756163
9790511	-122.777783	38.824231
9790512	-122.838025	38.802027
9790513	-122.76427	38.778245
9790514	-122.806821	38.836837
9790515	-122.826657	38.812035
9790516	-122.777896	38.824222
9790517	-122.737937	38.780057
9790518	-122.779795	38.795441
9790519	-122.825997	38.835676
9790521	-122.764282	38.783093
9790522	-122.772299	38.821137
9790524	-122.845644	38.847197
9790525	-122.740571	38.762828
9790526	-122.826039	38.835621
9790527	-122.740877	38.762958
9790528	-122.772612	38.821261
9790529	-122.740718	38.76289
9790530	-122.843205	38.797016
9790531	-122.737168	38.773251
9790532	-122.737041	38.773173
9790534	-122.810833	38.801991
9790535	-122.739041	38.768426
9790536	-122.751746	38.788939
9790537	-122.764347	38.783125
9790539	-122.777287	38.818976
9790540	-122.738704	38.768477
9790541	-122.751794	38.788979
9790542	-122.843652	38.797368
9790543	-122.764159	38.783035
9790544	-122.764084	38.783001
9790545	-122.747232	38.766594
9790546	-122.816355	38.818805
9790547	-122.726323	38.749653
9790548	-122.747152	38.767007
9790549	-122.779339	38.78806
9790553	-122.753953	38.784933
9790554	-122.816452	38.81892
9790555	-122.786971	38.792943
9790556	-122.740237	38.762802
9790558	-122.756262	38.791205
9790559	-122.816544	38.819037
9790560	-122.740308	38.762827
9790561	-122.786835	38.793019
9790562	-122.77288	38.790707
9790563	-122.792493	38.822188
9790564	-122.756346	38.791162
9790565	-122.77603	38.786007
9790566	-122.77301	38.790616
9790579	-122.817211	38.804322
9790580	-122.826822	38.812064
9790584	-122.753848	38.784871
9790588	-122.786696	38.793091
9790589	-122.818776	38.819332
9790590	-122.762579	38.780439
9790591	-122.787064	38.822865
9790592	-122.749967	38.770182
9790593	-122.762411	38.780464
9790594	-122.818893	38.819433
9790595	-122.823195	38.823751
9790596	-122.749912	38.770312
9790597	-122.816342	38.83229
9790598	-122.835402	38.793756
9790599	-122.836246	38.839019
9790600	-122.805804	38.802005
9790601	-122.779062	38.823415
9790602	-122.823272	38.823784
9790603	-122.779129	38.823363
9790605	-122.845641	38.847266
9790607	-122.753162	38.774783
9790608	-122.762253	38.780485
9790609	-122.874695	38.831405
9790610	-122.753196	38.774648
9790611	-122.749857	38.770444
9790612	-122.804408	38.80138
9790613	-122.753226	38.774513
9790614	-122.786906	38.822896
9790615	-122.76419	38.778212
9790618	-122.82919	38.84485
9790619	-122.726424	38.749598
9790620	-122.776145	38.785934
9790621	-122.750263	38.779325
9790622	-122.750326	38.779283
9790623	-122.819017	38.849397
9790624	-122.818988	38.849263
9790625	-122.839246	38.792938
9790629	-122.762158	38.780502
9790630	-122.836282	38.839082
9790631	-122.750196	38.779363
9790632	-122.721873	38.756237
9790633	-122.72195	38.756179
9790634	-122.776221	38.785904
9790635	-122.740897	38.777329
9790636	-122.740877	38.777399
9790637	-122.814391	38.808464
9790638	-122.776274	38.785964
9790639	-122.758482	38.792402
9790640	-122.78684	38.822898
9790641	-122.74086	38.777476
9790642	-122.816637	38.819149
9790643	-122.792332	38.822216
9790644	-122.806686	38.796482
9790645	-122.76509	38.797408
9790646	-122.819014	38.819534
9790647	-122.816707	38.819229
9790650	-122.818777	38.81942
9790651	-122.818898	38.819521
9790653	-122.804531	38.825703
9790654	-122.804588	38.825754
9790655	-122.753401	38.784713
9790660	-122.815442	38.813814
9790661	-122.796158	38.807423
9790662	-122.830509	38.817879
9790664	-122.833053	38.800822
9790665	-122.804645	38.825809
9790666	-122.830527	38.817975
9790667	-122.791277	38.830206
9790669	-122.791363	38.830239
9790670	-122.791462	38.830271
9790671	-122.747208	38.766683
9790672	-122.767338	38.797023
9790673	-122.779686	38.787759
9790674	-122.779674	38.787717
9790677	-122.766246	38.789095
9790678	-122.821769	38.838387
9790679	-122.766284	38.789029
9790680	-122.767419	38.797066
9790682	-122.832755	38.835101
9790683	-122.722023	38.756121
9790684	-122.821905	38.838375
9790685	-122.724022	38.759662
9790686	-122.732369	38.755513
9790687	-122.832728	38.835168
9790688	-122.721314	38.756073
9790689	-122.732454	38.755513
9790690	-122.724058	38.759738
9790691	0	0
9790692	-122.778886	38.825564
9790693	-122.73253	38.75554
9790694	-122.756585	38.777666
9790695	-122.831756	38.840924
9790696	-122.716318	38.74958
9790697	-122.716326	38.749676
9790698	-122.75649	38.777661
9790699	-122.778836	38.825509
9790701	-122.778783	38.825452
9790702	-122.764687	38.787707
9790704	-122.776225	38.786022
9790706	-122.725315	38.75981
9790707	-122.716334	38.749771
9790708	-122.838542	38.80191
9790709	-122.793538	38.812225
9790710	-122.716342	38.749867
9790712	-122.733484	38.762162
9790713	-122.81465	38.80864
9790714	-122.805959	38.832733
9790715	-122.75629	38.77766
9790716	-122.763971	38.782943
9790717	-122.725303	38.759742
9790718	-122.71635	38.749964
9790719	-122.756387	38.777685
9790720	-122.816336	38.832449
9790721	-122.81309	38.839944
9790722	-122.725289	38.759673
9790723	-122.764768	38.78769
9790724	-122.738995	38.759633
9790725	-122.806047	38.83271
9790726	-122.732173	38.75549
9790727	-122.732429	38.755535
9790728	-122.723993	38.759601
9790729	-122.756349	38.777604
9790730	-122.733479	38.762226
9790731	-122.801333	38.820292
9790732	-122.796622	38.808903
9790733	-122.766256	38.805754
9790734	-122.820436	38.812093
9790735	-122.802261	38.792087
9790736	-122.839133	38.801764
9790744	-122.831953	38.822887
9790745	-122.758839	38.80054
9790746	-122.760229	38.793104
9790747	-122.766367	38.799257
9790749	-122.774159	38.778666
9790750	-122.771467	38.797029
9790751	-122.725826	38.742818
9790752	-122.738111	38.780248
9790757	-122.792472	38.826293
9790759	-122.738907	38.759637
9790760	-122.736858	38.766957
9790761	-122.809385	38.837652
9790762	-122.738819	38.759642
9790763	-122.738731	38.759646
9790767	-122.78671	38.79288
9790769	-122.829954	38.808769
9790770	-122.784197	38.811502
9790772	-122.763915	38.782909
9790773	-122.73677	38.76698
9790774	-122.736686	38.766994
9790777	-122.808029	38.82204
9790780	-122.806148	38.795631
9790781	-122.804836	38.808048
9790783	-122.737692	38.762474
9790784	-122.828653	38.819501
9790785	-122.756405	38.791132
9790786	-122.738648	38.759649
9790787	-122.767497	38.797107
9790788	-122.82871	38.819572
9790789	-122.759932	38.799994
9790790	-122.830542	38.81806
9790792	-122.74123	38.77198
9790793	-122.760093	38.794071
9790794	-122.756477	38.791097
9790795	-122.874778	38.831352
9790796	-122.878274	38.836152
9790797	-122.719232	38.75309
9790800	-122.719124	38.753066
9790801	-122.833244	38.821577
9790802	-122.71906	38.753053
9790803	-122.833184	38.821578
9790804	-122.878278	38.836191
9790805	-122.836954	38.823063
9790807	-122.837042	38.823071
9790808	-122.718993	38.753039
9790811	-122.743621	38.784133
9790812	-122.728622	38.763017
9790813	-122.711019	38.745414
9790814	-122.711027	38.745364
9790815	-122.74368	38.784189
9790816	-122.711044	38.745331
9790817	-122.874851	38.831304
9790818	-122.711061	38.745298
9790819	-122.711099	38.745264
9790821	-122.751882	38.788939
9790822	-122.726577	38.749454
9790823	-122.726522	38.749539
9790824	-122.726585	38.749564
9790825	-122.874934	38.831262
9790826	-122.754044	38.784984
9790827	-122.874781	38.831457
9790828	-122.875033	38.831198
9790829	-122.802762	38.798974
9790830	-122.721237	38.755913
9790831	-122.845804	38.848019
9790832	-122.847937	38.826369
9790833	-122.837442	38.822993
9790834	-122.83428	38.79842
9790835	-122.834361	38.798509
9790836	-122.83965	38.80456
9790837	-122.83957	38.80452
9790838	0	0
9790839	0	0
9790840	-122.8103	38.80748
9790841	-122.88291	38.83163
9790842	-122.753058	38.774867
9790843	-122.847967	38.826469
9790844	0	0
9790845	-122.837147	38.823075
9790846	-122.848006	38.826555
9790847	-122.792784	38.822252
9790848	-122.830155	38.809209
9790849	-122.731951	38.770675
9790850	-122.744366	38.777233
9790851	-122.81473	38.808668
9790852	-122.741105	38.772603
9790853	-122.751728	38.782787
9790854	-122.769975	38.800391
9790867	-122.878284	38.836249
9790868	-122.72524	38.761703
9790869	-122.76183	38.78933
9790874	-122.783275	38.80356
9790875	-122.773115	38.784524
9790876	-122.809635	38.837769
9790877	-122.761919	38.793228
9790878	-122.8025	38.79873
9790879	-122.832693	38.835632
9790880	-122.811136	38.801972
9790881	-122.755942	38.774659
10390001	-121.530459	40.41877
10390002	-121.598644	40.407307
10390003	-121.546305	40.392257
10390004	-121.501034	40.355376
10390005	-121.564014	40.356376
10390006	-121.457478	40.337949

